original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0903-1-ysc,37.0,word,1693717532.243358,438.99999999999983,203.0,139.05754204644924,32.0,0.0,0
1,0903-1-ysc,37.0,word,1693717532.2820492,523.0000000000001,224.0,86.58521813797087,32.0,0.0,0
2,0903-1-ysc,37.0,word,1693717532.3145194,568.0000000000001,231.0,45.5411901469428,32.0,0.0,25
3,0903-1-ysc,37.0,word,1693717532.3304052,593.0000000000001,235.0,25.317977802344327,32.0,0.0,26
4,0903-1-ysc,37.0,word,1693717532.3625877,606.0000000000001,238.0,13.341664064126334,32.0,0.0,22
5,0903-1-ysc,37.0,word,1693717532.394873,612.9999999999999,240.0,7.280109889280518,32.0,0.0,18
6,0903-1-ysc,37.0,word,1693717532.4262474,615.9999999999999,239.00000000000003,3.1622776601683795,32.0,0.0,17
7,0903-1-ysc,37.0,word,1693717532.4584773,616.0,237.99999999999991,1.0,32.0,0.0,17
8,0903-1-ysc,37.0,word,1693717532.4904697,603.9999999999998,240.0,12.16552506059644,32.0,0.0,24
9,0903-1-ysc,37.0,word,1693717532.522683,592.0,243.99999999999997,12.649110640673518,32.0,0.0,30
10,0903-1-ysc,37.0,word,1693717532.554066,583.9999999999999,247.99999999999997,8.94427190999916,32.0,0.0,30
11,0903-1-ysc,37.0,word,1693717532.5710883,575.9999999999999,249.99999999999991,8.246211251235321,32.0,0.0,29
12,0903-1-ysc,37.0,word,1693717532.6024811,569.9999999999999,252.0,6.324555320336759,32.0,0.0,29
13,0903-1-ysc,37.0,word,1693717532.634931,563.9999999999999,253.9999999999999,6.324555320336759,32.0,0.0,26
14,0903-1-ysc,37.0,word,1693717532.6661892,557.0,256.99999999999994,7.615773105863909,32.0,0.0,25
15,0903-1-ysc,37.0,word,1693717532.698478,551.0,258.99999999999994,6.324555320336759,32.0,0.0,23
16,0903-1-ysc,37.0,word,1693717532.7307444,554.0000000000001,260.0,3.1622776601683795,32.0,0.0,23
17,0903-1-ysc,37.0,word,1693717532.7624984,558.0,261.0,4.123105625617661,32.0,0.0,26
18,0903-1-ysc,37.0,word,1693717532.7940352,562.0,260.99999999999994,4.0,32.0,0.0,26
19,0903-1-ysc,37.0,word,1693717532.8265195,565.0,261.9999999999999,3.1622776601683795,32.0,0.0,27
20,0903-1-ysc,37.0,word,1693717532.8585553,566.9999999999999,261.99999999999994,2.0,32.0,0.0,27
21,0903-1-ysc,37.0,word,1693717532.8740368,569.9999999999999,260.99999999999994,3.1622776601683795,32.0,0.0,29
22,0903-1-ysc,37.0,word,1693717532.9063084,571.9999999999999,260.99999999999994,2.0,32.0,0.0,28
23,0903-1-ysc,37.0,word,1693717532.9384398,572.9999999999999,259.0,2.23606797749979,32.0,0.0,29
24,0903-1-ysc,37.0,word,1693717532.9706554,575.0,258.99999999999994,2.0,32.0,0.0,29
25,0903-1-ysc,37.0,word,1693717533.0027812,576.9999999999999,258.99999999999994,2.0,32.0,0.0,29
26,0903-1-ysc,37.0,word,1693717533.0347853,580.0,256.99999999999994,3.605551275463989,32.0,0.0,30
27,0903-1-ysc,37.0,word,1693717533.0661182,587.0,256.0,7.071067811865476,32.0,0.0,32
28,0903-1-ysc,37.0,word,1693717533.0983517,596.9999999999998,254.99999999999991,10.04987562112089,32.0,0.0,30
29,0903-1-ysc,37.0,word,1693717533.1146593,607.9999999999999,252.99999999999997,11.180339887498947,32.0,0.0,23
30,0903-1-ysc,37.0,word,1693717533.1460624,618.0,252.0,10.04987562112089,32.0,0.0,18
31,0903-1-ysc,37.0,word,1693717533.1782086,625.9999999999999,251.99999999999997,8.0,32.0,0.0,16
32,0903-1-ysc,37.0,word,1693717533.2105217,632.9999999999999,250.99999999999997,7.071067811865476,32.0,0.0,14
33,0903-1-ysc,37.0,word,1693717533.242305,651.9999999999999,250.0,19.026297590440446,32.0,0.0,8
34,0903-1-ysc,37.0,word,1693717533.274336,727.0,247.99999999999991,75.02666192761077,32.0,0.0,1
35,0903-1-ysc,37.0,word,1693717533.3067265,817.9999999999999,245.9999999999999,91.02197536858888,32.0,0.0,2
36,0903-1-ysc,37.0,word,1693717533.3388226,884.9999999999999,246.0,67.0,32.0,0.0,3
37,0903-1-ysc,37.0,word,1693717533.371092,929.0,246.99999999999997,44.01136216933077,32.0,0.0,13
38,0903-1-ysc,37.0,word,1693717533.3862798,955.0,243.99999999999997,26.1725046566048,32.0,0.0,23
39,0903-1-ysc,37.0,word,1693717533.4185932,971.0,245.99999999999997,16.1245154965971,32.0,0.0,25
40,0903-1-ysc,37.0,word,1693717533.4507537,982.0,245.0,11.04536101718726,32.0,0.0,21
41,0903-1-ysc,37.0,word,1693717533.482062,990.0,242.99999999999991,8.246211251235321,32.0,0.0,20
42,0903-1-ysc,37.0,word,1693717533.515063,997.9999999999998,244.99999999999991,8.246211251235321,32.0,0.0,19
43,0903-1-ysc,37.0,word,1693717533.5464106,1002.0,247.99999999999991,5.0,32.0,0.0,20
44,0903-1-ysc,37.0,word,1693717533.5784068,1006.0,250.0,4.47213595499958,32.0,0.0,20
45,0903-1-ysc,37.0,word,1693717533.6104264,997.0,250.99999999999997,9.055385138137416,32.0,0.0,19
46,0903-1-ysc,37.0,word,1693717533.6434357,988.9999999999998,251.0,8.0,32.0,0.0,20
47,0903-1-ysc,37.0,word,1693717533.65898,986.0,250.99999999999991,3.0,32.0,0.0,21
48,0903-1-ysc,37.0,word,1693717533.6900637,983.0,250.0,3.1622776601683795,32.0,0.0,21
49,0903-1-ysc,37.0,word,1693717533.7222028,977.0,249.99999999999991,6.0,32.0,0.0,23
50,0903-1-ysc,37.0,word,1693717533.754383,969.0,248.99999999999997,8.06225774829855,32.0,0.0,25
51,0903-1-ysc,37.0,word,1693717533.786411,962.0,247.99999999999991,7.071067811865476,32.0,0.0,26
52,0903-1-ysc,37.0,word,1693717533.8185804,953.9999999999998,247.9999999999999,8.0,32.0,0.0,22
53,0903-1-ysc,37.0,word,1693717533.8508494,948.0,246.99999999999983,6.082762530298219,32.0,0.0,20
54,0903-1-ysc,37.0,word,1693717533.882183,942.0,246.00000000000009,6.082762530298219,32.0,0.0,17
55,0903-1-ysc,37.0,word,1693717533.9142506,937.0,244.99999999999997,5.0990195135927845,32.0,0.0,16
56,0903-1-ysc,37.0,word,1693717533.9301877,933.0,244.0,4.123105625617661,32.0,0.0,15
57,0903-1-ysc,37.0,word,1693717533.9627242,930.0,244.0,3.0,32.0,0.0,14
58,0903-1-ysc,37.0,word,1693717533.9941084,937.9999999999998,243.99999999999997,8.0,32.0,0.0,16
59,0903-1-ysc,37.0,word,1693717534.0261478,979.0,244.99999999999991,41.01219330881976,32.0,0.0,22
60,0903-1-ysc,37.0,word,1693717534.0584688,1072.0000000000002,245.99999999999997,93.00537618869136,32.0,0.0,4
61,0903-1-ysc,37.0,word,1693717534.090491,1159.9999999999998,245.0,88.0056816347672,32.0,0.0,1
62,0903-1-ysc,37.0,word,1693717534.1227298,1220.0,244.0,60.00833275470999,32.0,0.0,2
63,0903-1-ysc,37.0,word,1693717534.1539958,1259.0,242.9999999999999,39.01281840626232,32.0,0.0,4
64,0903-1-ysc,37.0,word,1693717534.1861088,1282.0,245.0,23.08679276123039,32.0,0.0,5
65,0903-1-ysc,37.0,word,1693717534.2022495,1305.9999999999998,249.99999999999997,24.515301344262525,32.0,0.0,9
66,0903-1-ysc,37.0,word,1693717534.2345378,1330.9999999999998,253.99999999999997,25.317977802344327,32.0,0.0,19
67,0903-1-ysc,37.0,word,1693717534.2666078,1344.9999999999998,255.99999999999997,14.142135623730953,32.0,0.0,29
68,0903-1-ysc,37.0,word,1693717534.2989364,1355.0,257.99999999999994,10.198039027185567,32.0,0.0,28
69,0903-1-ysc,37.0,word,1693717534.330232,1360.9999999999998,259.99999999999994,6.324555320336759,32.0,0.0,28
